aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_grau_escolaridade;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORTE;AC;ACRELÂNDIA;ANALFABETO;880;522;358
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO FUNDAMENTAL COMPLETO;614;455;159
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO FUNDAMENTAL INCOMPLETO;1818;1240;578
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO MÉDIO COMPLETO;1983;1543;440
2022;Brasil;NORTE;AC;ACRELÂNDIA;ENSINO MÉDIO INCOMPLETO;1323;943;380
2022;Brasil;NORTE;AC;ACRELÂNDIA;LÊ E ESCREVE;2052;1522;530
2022;Brasil;NORTE;AC;ACRELÂNDIA;SUPERIOR COMPLETO;554;464;90
2022;Brasil;NORTE;AC;ACRELÂNDIA;SUPERIOR INCOMPLETO;305;236;69
2022;Brasil;NORTE;AC;ASSIS BRASIL;ANALFABETO;834;464;370
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO FUNDAMENTAL COMPLETO;376;310;66
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO FUNDAMENTAL INCOMPLETO;1602;1209;393
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO MÉDIO COMPLETO;752;615;137
2022;Brasil;NORTE;AC;ASSIS BRASIL;ENSINO MÉDIO INCOMPLETO;1100;844;256
2022;Brasil;NORTE;AC;ASSIS BRASIL;LÊ E ESCREVE;1324;953;371
2022;Brasil;NORTE;AC;ASSIS BRASIL;SUPERIOR COMPLETO;180;134;46
2022;Brasil;NORTE;AC;ASSIS BRASIL;SUPERIOR INCOMPLETO;220;181;39
2022;Brasil;NORTE;AC;BRASILÉIA;ANALFABETO;1190;653;537
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO FUNDAMENTAL COMPLETO;947;726;221
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO FUNDAMENTAL INCOMPLETO;4447;3367;1080
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO MÉDIO COMPLETO;3966;3247;719
2022;Brasil;NORTE;AC;BRASILÉIA;ENSINO MÉDIO INCOMPLETO;2680;1979;701
2022;Brasil;NORTE;AC;BRASILÉIA;LÊ E ESCREVE;2469;1797;672
2022;Brasil;NORTE;AC;BRASILÉIA;SUPERIOR COMPLETO;1588;1327;261
2022;Brasil;NORTE;AC;BRASILÉIA;SUPERIOR INCOMPLETO;943;726;217
