REGIAO:;CO
UF:;MS
ESTACAO:;PONTA PORA
CODIGO (WMO):;A703
LATITUDE:;-22,5525
LONGITUDE:;-55,71638888
ALTITUDE:;668
DATA DE FUNDACAO:;07/09/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;930,5;930,5;930,1;1944,8;24,2;18,6;25,5;24,2;18,8;18,6;72;67;71;;;;
2022/01/01;0100 UTC;;931,3;931,3;930,5;1835,7;24,1;18,1;24,2;23,9;18,7;18;72;69;69;;;;
2022/01/01;0200 UTC;;931,8;931,8;931,3;1780,4;23,9;17,5;24,2;23,8;18,1;17,4;69;66;67;;;;
2022/01/01;0300 UTC;;931,5;931,8;931,5;1629,8;23;17,7;23,9;23;18;17,4;73;67;72;;;;
2022/01/01;0400 UTC;;931,2;931,5;931,2;1494,4;21,1;18;23;21,1;18,1;17,5;83;72;83;;;;
2022/01/01;0500 UTC;;930,7;931,2;930,7;1411,5;20,9;18,4;21,1;20,7;18,4;18;86;83;85;;;;
2022/01/01;0600 UTC;;930,4;930,7;930,3;1393,8;20,7;18,3;20,9;20,6;18,4;18,3;87;85;86;;;;
2022/01/01;0700 UTC;;930,5;930,5;930,4;1342;20,8;18,1;21;20,7;18,3;18,1;86;84;84;;;;
2022/01/01;0800 UTC;;930,8;930,8;930,4;2643,9;21,2;17,7;21,2;20,8;18,1;17,7;84;81;81;;;;
2022/01/01;0900 UTC;;931,3;931,3;930,8;3304,6;21,8;17,7;21,8;21,2;17,8;17,6;81;78;78;;;;
