REGIAO:;CO
UF:;MT
ESTACAO:;ROSARIO OESTE
CODIGO (WMO):;A944
LATITUDE:;-14,82888888
LONGITUDE:;-56,44194444
ALTITUDE:;195
DATA DE FUNDACAO:;30/05/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;982,5;982,5;981,8;;24,9;;26,2;24,8;;;;;;332;2;,6;
2022/01/01;0100 UTC;0;983,5;983,5;982,5;;23,8;;24,9;23,8;;;;;;302;1,9;,6;
2022/01/01;0200 UTC;0;984,3;984,3;983,5;;23,2;;23,8;23,2;;;;;;352;1,4;,3;
2022/01/01;0300 UTC;0;984,1;984,3;984,1;;22,7;;23,2;22,7;;;;;;152;1,1;,4;
2022/01/01;0400 UTC;0;983,9;984,1;983,9;;22,5;;22,8;22,4;;;;;;28;1;,3;
2022/01/01;0500 UTC;0;983,4;983,9;983,4;;22,7;;22,7;22,3;;;;;;290;1,1;,4;
2022/01/01;0600 UTC;0;983,2;983,4;983,1;;23,3;;23,3;22,5;;;;;;59;1,7;,8;
2022/01/01;0700 UTC;0;983,2;983,2;983;;23,7;;24;22,9;;;;;;72;2,4;,7;
2022/01/01;0800 UTC;0;983,3;983,3;983,1;;23,1;;24,2;23,1;;;;;;174;2,7;,5;
2022/01/01;0900 UTC;0;983,5;983,5;983,2;;22,2;;23,1;22,2;;;;;;99;1,6;,5;
2022/01/01;1000 UTC;0;984,3;984,3;983,5;43,2;23;;23,7;22,1;;;;;;154;2,3;,5;
2022/01/01;1100 UTC;0;985,3;985,3;984,3;392,6;25,8;;25,8;22,9;;;;;;3;3,2;1,7;
2022/01/01;1200 UTC;0;986,2;986,2;985,3;1652,8;27,1;;27,4;25,8;;;;;;349;4;1,7;
2022/01/01;1300 UTC;0;986,4;986,5;986,2;2476,5;29,4;;29,4;27,1;;;;;;358;4;1,6;
2022/01/01;1400 UTC;0;986,2;986,4;986,2;3133,8;32;;32;29,1;;;;;;351;4,2;1,6;
2022/01/01;1500 UTC;0;985,7;986,2;985,7;3575,3;32,2;;32,5;31;;;;;;314;6,4;3,2;
2022/01/01;1600 UTC;0;985;985,7;985;2769,5;32,6;;33,2;30,5;;;;;;306;7;3;
2022/01/01;1700 UTC;0;983,7;985;983,7;3306,7;32,5;;33,7;31,3;;;;;;316;7,8;2,8;
2022/01/01;1800 UTC;0;982,9;983,7;982,7;3247,4;33,5;;33,9;32,3;;;;;;325;9;3,1;
