REGIAO:;NE
UF:;MA
ESTACAO:;IMPERATRIZ
CODIGO (WMO):;A225
LATITUDE:;-5,55583333
LONGITUDE:;-47,45972222
ALTITUDE:;117,96
DATA DE FUNDACAO:;01/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;999;999;998,1;;22,5;20,9;22,5;22,4;20,9;20,8;91;91;91;37;0;0;
2022/01/01;0100 UTC;0;999,4;999,4;999;;22,6;21;22,6;22,4;21;20,9;91;91;91;81;0;0;
2022/01/01;0200 UTC;0;999,5;999,6;999,4;;22,6;21,1;22,6;22,4;21,1;20,9;91;91;91;97;0;0;
2022/01/01;0300 UTC;0;999,2;999,5;999,2;;22,5;21;22,7;22,5;21,1;21;91;91;91;56;0;0;
2022/01/01;0400 UTC;,2;998,5;999,2;998,5;;22,4;20,9;22,6;22,4;21,1;20,9;91;91;91;118;0;0;
2022/01/01;0500 UTC;0;997,9;998,5;997,8;;22,4;20,9;22,5;22,4;21;20,9;91;91;91;91;0;0;
2022/01/01;0600 UTC;0;997,3;997,9;997,3;;22,3;20,8;22,6;22,3;21,1;20,8;91;91;91;125;0;0;
2022/01/01;0700 UTC;0;996,8;997,3;996,8;;22,1;20,6;22,3;22,1;20,8;20,6;91;91;91;183;0;0;
2022/01/01;0800 UTC;0;996,8;996,9;996,7;;22,1;20,6;22,1;21,9;20,6;20,5;91;91;91;108;1,1;0;
2022/01/01;0900 UTC;0;997,2;997,2;996,8;5,2;22;20,6;22,1;21,9;20,6;20,4;91;91;91;160;1,1;0;
