REGIAO:;NE
UF:;PI
ESTACAO:;PARNAIBA
CODIGO (WMO):;A308
LATITUDE:;-3,08666666
LONGITUDE:;-41,78305554
ALTITUDE:;52,11
DATA DE FUNDACAO:;06/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;0;1005;1005,3;1005;0;27;23,5;27,3;27;23,7;23,5;81;81;81;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;0;1004,5;1005,1;1004,5;0;25,7;23;26,3;25,7;23,1;23;85;82;85;;;;
2022/01/01;0400 UTC;0;1003,8;1004,5;1003,8;0;25,5;23,5;25,7;25,4;23,5;23;88;85;88;;;;
2022/01/01;0500 UTC;0;1003,2;1003,8;1003,2;0;25,1;23,4;25,5;25,1;23,5;23,4;90;88;90;;;;
2022/01/01;0600 UTC;0;1003,2;1003,3;1003,2;0;24,8;23,4;25,2;24,8;23,4;23,2;92;90;92;;;;
2022/01/01;0700 UTC;0;1003,3;1003,3;1003,2;0;24,7;23,8;24,8;24,6;23,8;23,4;95;92;95;;;;
2022/01/01;0800 UTC;0;1004,1;1004,1;1003,3;0;24,7;23,8;24,8;24,7;23,9;23,8;95;95;95;;;;
2022/01/01;0900 UTC;0;1004,7;1004,7;1004,1;16,2;24,5;23,7;24,7;24,4;23,8;23,6;95;95;95;;;;
2022/01/01;1000 UTC;0;1005,7;1005,7;1004,7;212,4;24,8;23,7;24,8;24,5;24;23,7;96;94;94;;;;
2022/01/01;1100 UTC;0;1006,3;1006,3;1005,7;427,8;25,3;23,2;25,3;24,7;23,7;23,2;94;89;89;;;;
2022/01/01;1200 UTC;0;1006,7;1006,8;1006,3;851,9;26,2;22,9;26,2;25,3;23,5;22,9;89;82;82;;;;
2022/01/01;1300 UTC;0;1006,5;1006,8;1006,5;1223,4;27,6;23,2;27,7;26,2;23,5;22,7;83;77;77;;;;
2022/01/01;1400 UTC;0;1005,9;1006,5;1005,9;1803,3;28,6;23,3;28,6;27,2;23,5;22,5;77;73;73;;;;
2022/01/01;1500 UTC;0;1005;1005,9;1005;2387,7;30,7;22,5;31,1;28,7;23,5;22,2;73;61;62;;;;
2022/01/01;1600 UTC;0;1004;1005;1004;1868,9;31,1;22,3;32,1;30,6;22,9;21,9;62;56;60;;;;
2022/01/01;1700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1800 UTC;,4;1002,4;1002,9;1002,3;1320,8;30,6;22,4;30,8;28,6;24,7;22,3;75;61;62;;;;
2022/01/01;1900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2000 UTC;0;1003,7;1003,7;1002,5;64,5;27,8;23,1;29,1;27,8;23,1;22,7;75;69;75;;;;
2022/01/01;2100 UTC;,8;1004,4;1004,6;1003,7;4,3;24,1;21,9;27,8;24,1;23,6;21,9;88;75;88;;;;
2022/01/01;2200 UTC;1;1005,3;1005,3;1004,3;0;23,9;22,9;24,1;23,8;22,9;22;94;88;94;;;;
2022/01/01;2300 UTC;2;1005,9;1005,9;1005,3;0;23,7;22,9;23,9;23,7;23;22,8;95;94;95;;;;
2022/01/02;0000 UTC;3,6;1006,8;1006,8;1005,9;0;23,8;23,1;23,8;23,7;23,1;22,9;96;95;96;;;;
2022/01/02;0100 UTC;3,8;1006,8;1007;1006,7;0;23,7;23,2;23,8;23,7;23,2;23;96;96;96;;;;
2022/01/02;0200 UTC;2,4;1006,3;1006,9;1006,3;0;23,8;23,2;23,8;23,6;23,3;23;97;96;97;;;;
2022/01/02;0300 UTC;,2;1005,6;1006,3;1005,6;0;23,9;23,4;24;23,8;23,4;23,2;97;97;97;;;;
2022/01/02;0400 UTC;,2;1005,5;1005,7;1005,4;0;23,8;23,3;24;23,8;23,4;23,3;97;97;97;;;;
2022/01/02;0500 UTC;0;1004,9;1005,5;1004,9;0;23,9;23,5;24;23,8;23,5;23,3;97;97;97;;;;
2022/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;0800 UTC;0;1005,2;1005,2;1004,6;0;24,1;23,5;24,5;24,1;24;23,5;97;96;97;;;;
2022/01/02;0900 UTC;0;1005,6;1005,6;1005,2;5,6;24;23,4;24,1;23,9;23,4;23,3;97;96;97;;;;
2022/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
