REGIAO:;SE
UF:;ES
ESTACAO:;AFONSO CLAUDIO
CODIGO (WMO):;A657
LATITUDE:;-20,10416666
LONGITUDE:;-41,10694444
ALTITUDE:;507,48
DATA DE FUNDACAO:;24/09/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;954,3;954,3;953,5;;23,6;18,5;23,7;23,3;18,7;18,4;76;73;73;45;7,4;3,8;
2022/01/01;0100 UTC;0;954,8;954,8;954,3;;23,3;18,7;23,7;23,3;18,7;18,5;76;73;76;40;6,9;3;
2022/01/01;0200 UTC;0;954,4;954,8;954,4;;22,9;18,6;23,3;22,9;18,9;18,6;78;75;77;38;6,4;3,3;
2022/01/01;0300 UTC;0;953,8;954,4;953,8;;22,8;18,7;23;22,4;18,8;18,7;80;77;78;35;5,6;1,9;
2022/01/01;0400 UTC;0;953,4;953,8;953,4;;22,6;18,9;22,9;22,4;19;18,7;82;77;80;24;5;2;
2022/01/01;0500 UTC;0;953,1;953,4;953,1;;21,8;19,3;22,8;21,8;19,3;18,9;85;79;85;19;4,6;2,3;
2022/01/01;0600 UTC;,2;952,9;953,1;952,9;;21,7;19;22;21,6;19,3;18,9;85;83;85;24;5,2;1,3;
2022/01/01;0700 UTC;,2;953,3;953,3;952,9;;21,4;18,8;21,9;21,3;19,3;18,8;87;83;85;37;4;2,2;
2022/01/01;0800 UTC;0;953,7;953,7;953,3;;21,2;19,4;21,5;21,1;19,5;18,9;89;85;89;301;4;1,4;
2022/01/01;0900 UTC;0;954,3;954,3;953,7;39,5;21,8;18,6;21,8;21,2;19,6;18,6;89;82;82;49;6,6;3,2;
2022/01/01;1000 UTC;0;955;955;954,3;136,6;22;18,2;22;21,7;18,6;18,1;82;79;79;55;7,1;3,9;
2022/01/01;1100 UTC;0;955,5;955,5;955;121,8;22;17,9;22,1;21,9;18,2;17,9;79;77;78;40;7,7;2,6;
2022/01/01;1200 UTC;0;955,9;955,9;955,5;233,2;22;18,2;22,4;21,9;18,9;17,7;82;75;79;16;5,1;1,5;
2022/01/01;1300 UTC;0;955,8;955,9;955,7;530;22,7;19,2;22,8;21,8;19,4;17,8;83;75;81;278;3,8;1,1;
2022/01/01;1400 UTC;0;955,7;955,8;955,7;847,2;23,6;18,6;23,7;22,6;19,8;18,3;82;73;74;337;2,2;1;
2022/01/01;1500 UTC;0;954,8;955,7;954,8;1982,5;26,8;19,3;26,8;23,5;19,5;18;75;61;63;42;2,9;1,1;
2022/01/01;1600 UTC;0;954,2;954,8;954,2;2151,3;26,6;18,2;27,1;25,4;18,9;17,4;64;58;60;12;6,9;4,1;
2022/01/01;1700 UTC;0;953,6;954,2;953,6;1793,2;26,6;18,1;27,5;26,3;19;17,1;62;57;60;56;6,9;2;
2022/01/01;1800 UTC;0;953;953,6;953;1596,5;27,3;18,1;27,8;26,3;19,5;17,9;63;56;57;8;5;1,7;
2022/01/01;1900 UTC;0;952,3;953;952,3;1316,5;26,3;18,3;28,4;26,3;19,2;18;62;55;62;68;5,9;4;
2022/01/01;2000 UTC;0;952,5;952,5;952,3;646,1;26,1;17,5;26,4;26,1;18,6;17,2;63;58;59;43;7;3,4;
2022/01/01;2100 UTC;0;952,8;952,8;952,3;179,6;25,4;17,9;26,1;25,4;18;17,3;64;58;63;48;6;2,6;
2022/01/01;2200 UTC;0;953,8;953,8;952,8;8,4;24,6;18,5;25,5;24,6;18,6;17,8;69;63;69;51;6,8;3,1;
2022/01/01;2300 UTC;0;954,8;954,8;953,8;;24;18,5;24,6;23,9;18,5;18,2;71;68;71;60;4,9;2,7;
2022/01/02;0000 UTC;0;955,4;955,4;954,8;;23,9;19,1;24,2;23,7;19,1;18,5;74;71;74;38;5,3;3;
2022/01/02;0100 UTC;0;955,6;955,7;955,4;;23,5;18,8;23,9;23,3;19,1;18,8;76;74;75;28;5,7;2,2;
2022/01/02;0200 UTC;0;955,6;955,7;955,5;;23,6;17,5;23,7;23,2;18,8;17,5;76;68;69;28;6,8;4;
2022/01/02;0300 UTC;0;955,5;955,6;955,5;;22,7;17,1;23,6;22,7;17,5;17;71;68;71;66;6,9;2,6;
2022/01/02;0400 UTC;0;955,2;955,6;955,2;;22,4;17,2;22,7;22,3;17,2;17;73;71;72;52;5,8;3,4;
2022/01/02;0500 UTC;0;955;955,2;955;;22,2;17,3;22,5;22,2;17,4;17,1;74;72;74;38;5,9;2,4;
2022/01/02;0600 UTC;0;954,9;955,1;954,9;;21,9;17,2;22,4;21,9;17,3;17,1;75;73;75;325;5;1,2;
