REGIAO:;SE
UF:;RJ
ESTACAO:;TRES RIOS
CODIGO (WMO):;A625
LATITUDE:;-22,09833333
LONGITUDE:;-43,20833333
ALTITUDE:;295
DATA DE FUNDACAO:;08/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,8;976,7;976,7;975,9;;21,6;21,6;21,9;21,6;21,9;21,6;100;100;100;67;2,7;,4;
2022/01/01;0100 UTC;1,2;977,2;977,3;976,7;;21,5;21,5;21,7;21,5;21,7;21,5;100;100;100;123;2,6;,4;
2022/01/01;0200 UTC;1,6;976,2;977,2;976,2;;21,3;21,3;21,6;21,3;21,6;21,3;100;100;100;39;3,5;,6;
2022/01/01;0300 UTC;,2;975,9;976,4;975,9;;21,2;21,2;21,3;21,2;21,3;21,2;100;100;100;48;1,4;,4;
2022/01/01;0400 UTC;,2;975,5;975,9;975,5;;21,2;21,2;21,3;21,1;21,3;21,1;100;100;100;60;1,4;,6;
2022/01/01;0500 UTC;,2;974,9;975,5;974,9;;21;21;21,3;21;21,2;21;100;100;100;103;1,6;1;
2022/01/01;0600 UTC;,4;974,9;975;974,7;;20,7;20,7;21;20,7;21;20,7;100;100;100;358;2,1;,3;
2022/01/01;0700 UTC;,6;975;975;974,9;;20,7;20,7;20,9;20,6;20,9;20,6;100;100;100;71;1,3;,3;
2022/01/01;0800 UTC;0;975,4;975,4;975;;20,7;20,7;20,8;20,6;20,8;20,6;100;100;100;91;1,5;,3;
2022/01/01;0900 UTC;,2;975,8;975,8;975,4;85,9;21,1;21,1;21,2;20,7;21,2;20,7;100;100;100;39;1,4;,4;
2022/01/01;1000 UTC;0;976,5;976,5;975,8;352,1;22,2;22,2;22,2;21,1;22,2;21,1;100;100;100;49;1,7;,5;
2022/01/01;1100 UTC;0;976,8;976,9;976,5;533,4;23,1;23,1;23,1;22,1;23,1;22,1;100;100;100;74;2,6;1,1;
2022/01/01;1200 UTC;0;977,1;977,1;976,8;765,2;24,4;24,2;24,4;23,1;24,3;23,1;100;97;99;103;2,9;1;
2022/01/01;1300 UTC;0;977,2;977,3;977;1003,8;25,9;23,6;25,9;24,3;24,1;23,1;99;86;87;67;3,5;1,1;
2022/01/01;1400 UTC;0;976,7;977,2;976,7;1661,9;27;23,1;27,3;25,8;24,4;23,1;89;79;79;87;3,6;,8;
2022/01/01;1500 UTC;1;976,5;976,7;976,4;979,5;26,2;23,5;27,1;26,2;25,5;22,9;93;79;85;46;3;,8;
2022/01/01;1600 UTC;0;975,8;976,5;975,8;1276,6;26,7;24,2;26,7;25,9;25,1;23,4;94;83;86;117;3,1;1,4;
2022/01/01;1700 UTC;0;975,3;975,8;975,3;1038,7;24,4;22,1;27,2;24,4;24,4;22,1;89;81;87;63;5,6;1,5;
2022/01/01;1800 UTC;8;975,2;975,5;975,2;1005,5;24,3;22,8;24,8;22,9;24,4;22;100;87;91;113;4,1;1,6;
2022/01/01;1900 UTC;3,4;975,2;975,2;974,7;481,9;23,9;23,8;24,7;23,9;23,8;22,6;99;89;99;173;4,4;,7;
2022/01/01;2000 UTC;3,2;975,3;975,3;975,1;344,8;24;24;24;23,3;24;23,3;100;99;100;101;2,8;1;
2022/01/01;2100 UTC;0;975,3;975,4;975,2;649,8;24;24;24,5;23,9;24,3;23,6;100;95;100;101;3,6;,9;
2022/01/01;2200 UTC;0;976,2;976,2;975,3;82,4;23;23;24;23;24;23;100;99;100;92;2,5;,3;
2022/01/01;2300 UTC;0;976,8;976,8;976,2;;22,7;22,7;23;22,6;23;22,6;100;100;100;63;1,9;,7;
2022/01/02;0000 UTC;0;977,5;977,5;976,8;;22,2;22,2;22,8;22,2;22,8;22,2;100;100;100;48;2,1;,4;
2022/01/02;0100 UTC;0;978,2;978,2;977,5;;22,3;22,3;22,4;22,2;22,4;22,2;100;100;100;59;1,8;,5;
2022/01/02;0200 UTC;0;978,3;978,4;978,1;;22,3;22,3;22,4;22,2;22,4;22,2;100;100;100;37;1,8;,5;
2022/01/02;0300 UTC;0;978;978,3;978;;22,3;22,3;22,4;22,2;22,3;22,2;100;100;100;41;1,3;,5;
2022/01/02;0400 UTC;,4;977,5;978;977,5;;22,2;22,2;22,3;22,2;22,3;22,2;100;100;100;43;1,5;,4;
2022/01/02;0500 UTC;0;977,4;977,5;977,4;;22,1;22,1;22,2;22,1;22,2;22,1;100;100;100;110;1,6;,5;
2022/01/02;0600 UTC;,2;977,4;977,4;977,3;;21,9;21,9;22,1;21,9;22,1;21,9;100;100;100;71;1,9;,4;
2022/01/02;0700 UTC;,2;977,7;977,7;977,3;;21,6;21,6;21,9;21,6;21,8;21,6;100;100;100;42;2,1;,6;
2022/01/02;0800 UTC;1,2;978,1;978,1;977,7;;21,5;21,4;21,6;21,5;21,6;21,4;100;100;100;46;2,5;,7;
2022/01/02;0900 UTC;1,2;978,4;978,5;978,1;19,5;21,5;21,5;21,5;21,4;21,5;21,4;100;100;100;45;2;,5;
