REGIAO:;SE
UF:;RJ
ESTACAO:;RIO DE JANEIRO - JACAREPAGUA
CODIGO (WMO):;A636
LATITUDE:;-22,93999999
LONGITUDE:;-43,40277777
ALTITUDE:;20
DATA DE FUNDACAO:;10/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;0;1006,9;1006,9;1006,4;2,9;23,3;21;24,4;23,1;21,7;21;89;83;87;276;2,9;,4;
2022/01/01;0100 UTC;,2;1007,4;1007,4;1006,9;3,7;23;21;24;23;21,7;20,9;90;86;88;290;2,9;,5;
2022/01/01;0200 UTC;0;1007,4;1007,5;1007,3;5,4;22,8;21,1;23,1;22,7;21,3;21;90;88;90;291;2,4;,3;
2022/01/01;0300 UTC;0;1006,1;1007,4;1006,1;5,9;22,7;20,8;24;22,7;21,7;20,6;90;84;89;249;3,3;,4;
2022/01/01;0400 UTC;0;1005,8;1006,2;1005,8;6,9;22,3;20,7;22,7;22,3;20,9;20,7;91;89;91;254;2,1;,4;
2022/01/01;0500 UTC;,2;1006;1006,2;1005,8;5,4;22,1;20,5;22,5;22;20,8;20,4;91;90;91;244;2,4;,3;
2022/01/01;0600 UTC;,6;1005,8;1006;1005,8;5,4;21,7;20,3;22,1;21,7;20,5;20,2;91;91;91;249;1,8;,1;
2022/01/01;0700 UTC;,4;1006;1006;1005,8;5,6;21,7;20,3;21,8;21,6;20,3;20,2;92;91;92;285;1,2;,1;
2022/01/01;0800 UTC;,2;1006;1006;1005,8;5,4;21,6;20,2;21,7;21,6;20,3;20,2;92;92;92;254;1,5;,3;
2022/01/01;0900 UTC;,4;1006,3;1006,3;1006;37;21,7;20,4;21,7;21,5;20,4;20,2;92;92;92;270;1,1;,1;
2022/01/01;1000 UTC;,2;1006,8;1006,8;1006,3;146,3;22,3;21;22,4;21,7;21;20,4;92;92;92;253;1,2;,2;
2022/01/01;1100 UTC;,2;1007,2;1007,2;1006,8;443;23,7;22,3;23,7;22,3;22,3;21;92;91;91;241;1,6;,4;
2022/01/01;1200 UTC;0;1007,5;1007,6;1007,2;869;25,7;23,1;25,8;23,7;23,5;22,3;91;85;86;216;1,7;,3;
2022/01/01;1300 UTC;0;1007,7;1007,7;1007,5;1052,1;26,6;23,3;27,4;25,7;23,6;22,3;87;75;82;183;1,4;0;
2022/01/01;1400 UTC;0;1007,7;1007,8;1007,7;1061,7;27,9;24;28,1;26,6;24,8;21,7;85;71;79;79;1,8;,3;
2022/01/01;1500 UTC;0;1007,2;1007,7;1007,2;1345,6;27,8;23,8;28,5;27,4;24,5;23;83;75;79;142;2,7;,8;
2022/01/01;1600 UTC;0;1006,8;1007,2;1006,8;1856,7;28,4;23,4;29,5;27,7;24,2;22,4;79;67;74;148;2,5;,8;
2022/01/01;1700 UTC;0;1006,3;1006,7;1006,3;2595,9;28,8;23;29,6;28,2;24,2;22,6;76;68;71;142;3,8;1,3;
2022/01/01;1800 UTC;,2;1005,7;1006,3;1005,7;2078,8;30;22,5;30;28,2;23,9;21,4;74;63;64;148;4,4;1;
2022/01/01;1900 UTC;0;1005,4;1005,8;1005,4;1729,9;29,6;21,3;30,9;29,6;22,9;20,9;66;57;61;26;4,3;1;
2022/01/01;2000 UTC;0;1005,8;1005,9;1005,4;1185,4;28,5;20,2;30,2;28,5;22,7;20,2;65;58;61;355;6,2;1,2;
2022/01/01;2100 UTC;0;1006,4;1006,4;1005,8;236,8;27,5;21,2;28,5;27,4;21,6;20,2;71;61;68;19;5,9;,4;
2022/01/01;2200 UTC;0;1007,1;1007,1;1006,4;55,2;26,6;21,3;27,5;25,6;22,3;21,1;82;69;73;341;2,9;,9;
2022/01/01;2300 UTC;,4;1007,9;1007,9;1007,1;3,1;25;21,5;26,9;25;21,5;21,1;81;71;81;316;4,2;,8;
2022/01/02;0000 UTC;,4;1008,7;1008,7;1007,9;4,8;23,7;21,8;25;23,7;22,2;21,5;89;81;89;252;2,8;,9;
2022/01/02;0100 UTC;0;1009;1009;1008,7;3,7;23,2;21,5;23,7;23,2;21,8;21,4;90;89;90;255;2,4;,2;
2022/01/02;0200 UTC;0;1008,6;1009;1008,6;4,4;23,1;21,5;23,3;23;21,6;21,4;91;90;91;263;1,4;,3;
2022/01/02;0300 UTC;0;1008;1008,6;1008;3,8;22,8;21,3;23,1;22,8;21,5;21,2;91;91;91;241;2,6;,2;
2022/01/02;0400 UTC;0;1007,1;1008;1007,1;2,9;25,9;21,1;26;22,8;22,9;21,1;91;75;75;319;4,7;1,7;
2022/01/02;0500 UTC;0;1006,6;1007;1006,6;6,9;25,9;20,4;26,4;25,8;21,1;20,4;75;70;72;329;5,8;1,4;
2022/01/02;0600 UTC;0;1006,4;1006,7;1006,4;7,7;24,9;21;26,6;24,8;21,2;20,4;79;69;79;358;5,7;,8;
2022/01/02;0700 UTC;0;1006,9;1006,9;1006,3;5,4;27,3;20;27,5;24,8;21,1;19,7;79;63;64;330;6;1,5;
2022/01/02;0800 UTC;0;1007,7;1007,7;1006,9;;25,7;20,3;27,5;25,2;20,9;19,7;77;63;72;341;6,2;1,1;
2022/01/02;0900 UTC;,2;1008,3;1008,3;1007,7;36,5;24,9;20,7;26,1;23,5;21,6;20,3;87;71;78;7;4,1;1,2;
2022/01/02;1000 UTC;0;1008,8;1008,8;1008,3;175;25,5;20,7;26,6;24,2;21,3;20,2;84;68;75;289;5,1;1,4;
2022/01/02;1100 UTC;0;1009,5;1009,5;1008,8;416,6;26,7;21;26,9;24,8;22;20,3;83;67;71;299;4,4;1;
2022/01/02;1200 UTC;0;1009,7;1009,7;1009,5;1043,7;27,8;19,9;28;26,1;22,3;19,9;78;62;63;301;6,1;2,2;
2022/01/02;1300 UTC;0;1009,6;1009,7;1009,6;1438,3;28,8;20,9;28,8;27,7;21,8;19,8;68;61;62;261;5,9;1;
2022/01/02;1400 UTC;0;1009,1;1009,6;1009,1;1364,8;29,5;21,6;29,5;28,7;22,3;20,7;68;61;63;56;4,5;,5;
2022/01/02;1500 UTC;0;1008,7;1009,1;1008,7;1887;30,5;20,5;31,1;29,5;22,7;19,3;68;50;55;25;6,3;2,4;
2022/01/02;1600 UTC;,2;1007,5;1008,7;1007,5;2088,4;31,5;20,2;31,6;30,5;22;19,1;60;48;51;31;6,3;,4;
2022/01/02;1700 UTC;0;1007,3;1007,5;1007,1;884,8;28;22,5;31,6;28;23,9;18,9;72;49;72;245;4,4;,5;
2022/01/02;1800 UTC;0;1006,9;1007,4;1006,8;450,8;26,8;22,7;27,9;26,4;23,6;22,4;84;72;79;250;3,5;1,7;
2022/01/02;1900 UTC;0;1006,5;1006,9;1006,5;961,6;27,2;23,2;28,6;26,8;24,1;22,6;80;70;79;188;4,2;1;
2022/01/02;2000 UTC;0;1006,8;1006,8;1006,5;336,3;26,7;22,6;27,5;26,7;23,5;22,3;80;74;78;255;4,2;,7;
2022/01/02;2100 UTC;0;1007,1;1007,2;1006,6;134,9;25,7;22,5;26,7;25,7;23,1;22,1;83;78;82;249;2,4;0;
2022/01/02;2200 UTC;0;1007,8;1007,8;1007,1;42,6;24,5;22,3;25,7;24,4;22,7;22,2;88;82;88;247;1,9;,2;
2022/01/02;2300 UTC;0;1008,4;1008,4;1007,7;,6;24,1;22,1;24,5;24;22,4;22;89;88;89;238;1,5;,2;
2022/01/03;0000 UTC;0;1008,4;1008,5;1008,3;1,8;23,8;22;24,1;23,7;22,2;21,9;90;89;90;249;1,3;,1;
2022/01/03;0100 UTC;0;1008,8;1008,8;1008,4;3;23,8;22,1;23,9;23,7;22,2;21,9;90;90;90;264;1;0;
2022/01/03;0200 UTC;0;1009;1009,2;1008,8;2,6;23,7;22,1;23,8;23,6;22,2;22;91;90;91;259;1;,1;
2022/01/03;0300 UTC;0;1008,9;1009,1;1008,9;3,5;23,8;22,3;23,8;23,6;22,3;22,1;91;91;91;99;1,3;,1;
2022/01/03;0400 UTC;0;1008,5;1008,9;1008,4;3,7;23,7;22,2;23,8;23,7;22,3;22,2;91;91;91;235;,9;0;
2022/01/03;0500 UTC;0;1008;1008,5;1008;3,2;23,6;22,2;23,7;23,6;22,3;22,2;92;91;92;329;,8;0;
2022/01/03;0600 UTC;0;1007,4;1008;1007,4;1,7;23,3;21,8;23,6;23,3;22,2;21,8;92;92;92;281;,9;,1;
2022/01/03;0700 UTC;0;1007,6;1007,6;1007,4;1,9;23,6;22,2;23,6;23,1;22,2;21,7;92;92;92;48;2,1;,4;
