,codigo_tse,qt_aptos_1t_2022,qt_aptos_2t_2022,qt_comparecimento_1t_2022,qt_comparecimento_2t_2022,qt_abstencao_1t_2022,qt_abstencao_2t_2022,qt_aptos_1t_2020,qt_aptos_2t_2020,qt_comparecimento_1t_2020,qt_comparecimento_2t_2020,qt_abstencao_1t_2020,qt_abstencao_2t_2020,qt_aptos_1t_2018,qt_aptos_2t_2018,qt_comparecimento_1t_2018,qt_comparecimento_2t_2018,qt_abstencao_1t_2018,qt_abstencao_2t_2018,id_municipio
0,19,28308,28308,21083,20502,7225,7806,27740.0,,20122.0,,7618.0,,28509,28509,21155,19960,7354,8549,1100106
1,35,350576,350576,276794,271775,73782,78801,333031.0,333031.0,241180.0,219205.0,91851.0,113826.0,334529,334529,269615,259626,64914,74903,1100205
2,51,92645,92645,69829,70457,22816,22188,88732.0,,62074.0,,26658.0,,85978,85978,67990,66720,17988,19258,1100122
3,78,70026,70026,51703,52062,18323,17964,66872.0,,45411.0,,21461.0,,66945,66945,50792,49061,16153,17884,1100023
4,94,66611,66611,51168,52070,15443,14541,63487.0,,45785.0,,17702.0,,60905,60905,49940,48952,10965,11953,1100049
5,116,26482,26482,20393,20623,6089,5859,25416.0,,18219.0,,7197.0,,26269,26269,21260,20721,5009,5548,1100189
6,132,65655,65655,50143,51034,15512,14621,61182.0,,44704.0,,16478.0,,60464,60464,47735,48138,12729,12326,1100304
7,159,43093,43093,30073,30490,13020,12603,42758.0,,30193.0,,12565.0,,40137,40137,28410,27291,11727,12846,1100114
8,175,30386,30386,20985,21182,9401,9204,30390.0,,20712.0,,9678.0,,29469,29469,20706,19696,8763,9773,1100155
9,191,15609,15609,11532,11659,4077,3950,15389.0,,11257.0,,4132.0,,14813,14813,11912,11610,2901,3203,1100254
10,213,9506,9506,6884,6817,2622,2689,9364.0,,6761.0,,2603.0,,8828,8828,6334,5964,2494,2864,1100080
11,230,13774,13774,10013,10263,3761,3511,13510.0,,9645.0,,3865.0,,13734,13734,10270,10092,3464,3642,1100064
12,256,23901,23901,18242,18420,5659,5481,23496.0,,17121.0,,6375.0,,23293,23293,18799,18344,4494,4949,1100098
13,272,12945,12945,10044,10143,2901,2802,12546.0,,9534.0,,3012.0,,12238,12238,10128,9939,2110,2299,1100056
14,299,40573,40573,29957,30682,10616,9891,39338.0,,27337.0,,12001.0,,38258,38258,30906,30395,7352,7863,1100288
15,310,19396,19396,14080,14184,5316,5212,19478.0,,14015.0,,5463.0,,18789,18789,13451,13094,5338,5695,1100015
16,337,11874,11874,8316,8545,3558,3329,11941.0,,8654.0,,3287.0,,12144,12144,8405,8134,3739,4010,1100346
