,id_municipio,precipitacao_mm_1t,precipitacao_mm_2t
0,5200050,2.4,0.0
1,3100104,0.0,0.0
2,5200100,0.2,0.0
3,3100203,0.0,0.6000000000000001
4,1500107,0.0,0.2
5,2300101,0.0,0.0
6,2900108,0.0,0.0
7,2900207,0.0,0.0
8,4100103,0.0,60.6
9,4200051,0.0,0.2
10,1500131,0.0,0.0
11,4200101,0.0,3.2
12,3100302,0.0,10.2
13,2600054,0.0,0.0
14,1700251,0.0,0.0
15,3100401,0.0,0.4
16,2100055,0.0,0.0
17,2900306,0.0,0.0
18,1500206,0.0,0.2
19,2300150,0.0,0.0
20,2300200,0.0,0.0
21,2400109,0.0,0.0
22,2200053,0.0,0.0
23,4300034,0.2,1.5999999999999999
24,2300309,0.0,0.0
25,5100102,0.2,0.0
26,1200013,0.0,0.0
27,5200134,0.0,0.4
28,2400208,0.0,0.0
29,3100500,0.0,7.2
30,3500105,0.2,0.0
31,5200159,0.8,0.0
32,3500204,0.0,1.2
33,4100202,0.4,0.4
34,2900355,0.0,0.0
35,2600104,0.0,0.0
36,2400307,0.0,0.0
37,3200102,0.0,1.8
38,2100105,0.0,0.0
39,2600203,0.0,0.0
40,1500305,0.0,0.0
41,2600302,0.0,0.0
42,2200103,0.0,0.0
43,4200200,0.0,0.2
44,4200309,0.0,0.2
45,1500347,0.0,0.0
46,3100609,0.0,1.6
47,5100201,0.0,0.0
48,2200202,0.0,0.0
49,2500106,0.0,0.0
50,2700102,0.0,0.0
51,5000203,0.0,0.0
52,3100708,0.0,0.4
53,4200408,0.0,1.4
54,2100154,0.0,0.0
55,3200169,0.0,1.0
56,2900405,0.0,0.0
57,5200175,0.0,0.0
58,5200209,0.0,0.0
59,2400406,0.0,0.0
60,2600401,0.0,0.0
61,4300059,0.0,4.2
62,3500303,0.0,9.8
63,3100807,0.0,2.0
64,2600500,0.0,0.0
65,3500402,0.2,3.2
66,4200507,0.0,0.8
67,3500501,0.0,11.0
68,3500550,0.0,27.4
69,3500600,0.0,13.6
70,3100906,0.0,0.0
71,4200556,0.0,0.8
72,5200258,6.199999999999999,0.0
73,4200606,0.0,0.2
74,3101003,0.0,0.0
75,4300109,0.0,13.6
76,3500709,0.0,10.8
77,4100301,0.0,0.2
78,3200136,0.0,1.0
79,2500205,0.0,0.0
80,1700301,0.0,0.0
81,3101102,0.0,0.0
82,2900603,0.0,0.0
83,2300408,0.0,0.0
84,3101201,0.0,0.0
85,4300208,0.0,26.400000000000002
86,3101300,0.0,0.0
87,2500304,0.0,0.0
88,2500403,0.0,0.0
89,2500502,0.0,0.0
90,2600609,0.0,0.0
91,2200251,0.0,0.0
92,2900702,0.2,0.0
93,3500758,0.2,41.0
94,3101409,0.0,11.0
95,2100204,0.0,0.0
96,2300507,0.0,0.0
97,2500536,0.0,0.0
98,5000252,0.0,0.0
99,2900801,0.0,0.0
100,2100303,0.0,0.0
101,4300307,0.0,0.0
102,3200201,0.0,0.2
103,4300406,0.0,1.8
104,2200277,0.0,0.0
105,4300455,0.0,0.0
106,3101508,0.0,0.0
107,1500404,0.0,0.0
108,2400505,0.0,0.0
109,5200308,0.8,0.0
110,3101607,0.0,0.0
111,3200300,0.0,0.0
112,3500808,0.0,8.4
113,3101631,0.2,0.0
114,4200705,0.0,0.2
115,2500577,0.0,0.0
116,2500601,0.0,0.0
117,2600708,0.0,0.0
118,1700350,0.0,0.0
119,2900900,0.0,0.0
120,1700400,0.0,0.0
121,1500503,0.0,0.0
122,3101706,0.0,0.0
123,2400604,0.0,0.0
124,4100400,0.0,0.2
125,4300471,0.0,15.4
126,5200506,0.0,0.0
127,3101805,0.0,17.4
128,4300505,0.0,15.2
129,3101904,0.0,23.0
130,5100250,0.0,0.0
131,1100015,0.0,0.0
132,3500907,0.0,0.2
133,1500602,0.0,0.0
134,2100402,0.2,0.0
135,4100459,0.0,0.0
136,2300606,0.0,0.0
137,3102001,0.0,0.0
138,2600807,0.0,0.0
139,3501004,0.0,8.600000000000001
140,3501103,0.0,2.6
141,1400050,0.0,0.0
142,4300554,0.0,28.0
143,2100436,0.2,0.0
144,2100477,0.0,0.0
145,1100379,0.0,0.0
146,5100300,0.0,0.0
147,4200754,0.0,1.4
148,5100359,0.0,0.0
149,3102050,0.0,10.2
150,2400703,0.0,0.0
151,4300570,0.0,5.4
152,5100409,0.0,0.0
153,5200555,0.0,0.0
154,3153509,0.0,10.2
155,2200301,0.0,0.0
156,5100508,0.2,0.0
157,4128625,0.0,12.200000000000001
158,1100403,0.0,0.0
159,5200605,0.0,30.0
160,4100608,0.0,11.799999999999999
161,2100501,0.0,0.0
162,4100707,0.2,38.2
163,3102100,0.2,0.0
164,3200359,0.0,1.0
165,2300705,0.0,0.0
166,5100607,0.0,0.8
167,4100509,0.0,23.8
168,2200400,0.0,0.0
169,3501152,0.2,41.0
170,1300029,0.0,0.0
171,3102209,0.0,10.8
172,3501202,0.0,4.2
173,3501301,0.0,8.4
174,3501400,0.0,3.8000000000000003
175,3501509,0.0,3.8000000000000003
176,3102308,0.0,38.199999999999996
177,1700707,0.0,0.0
178,4300604,0.0,17.6
179,1100346,0.0,0.0
180,3102407,0.0,7.2
181,2200459,0.0,0.0
182,5200803,0.0,0.0
183,4100806,0.0,8.8
184,1400027,0.0,0.0
185,5000609,0.0,28.8
186,1600105,0.0,0.0
187,2100550,0.0,0.0
188,4100905,0.0,0.0
189,2600906,0.0,0.0
190,4300638,0.2,19.400000000000002
191,5200829,0.0,0.0
192,2200509,0.0,0.0
193,2100600,0.0,0.0
194,2901007,0.4,0.6
195,1300060,0.0,0.0
196,2901106,0.2,0.0
197,2901155,0.0,0.0
198,3501608,0.0,13.6
199,5200852,0.8,0.0
200,3501707,0.0,8.2
201,3501806,0.0,0.0
202,4300646,0.0,15.2
203,2300754,0.0,0.0
204,5200902,0.0,0.0
205,2500734,0.0,0.0
206,3501905,0.0,11.0
207,2800100,0.0,0.0
208,3102506,0.0,0.4
209,4101002,0.0,9.0
210,2700201,0.0,0.0
211,2901205,0.2,0.0
212,4101051,0.0,0.0
213,1500701,0.0,0.0
214,2100709,0.0,0.0
215,3502002,0.0,8.2
216,1300086,0.0,0.0
217,1701002,0.0,0.0
218,1500800,0.0,0.2
219,5201108,2.4,0.0
220,1500859,0.0,0.0
221,2100808,0.0,0.0
222,5000708,0.0,11.0
223,5000807,0.0,0.0
224,4200804,0.0,5.6
225,3200409,0.0,0.0
226,2901304,0.0,0.0
227,4101101,0.0,60.6
228,2901353,0.0,0.0
229,3102605,0.2,3.2
230,3502101,0.0,0.0
231,4300661,0.0,0.0
232,3102803,0.2,0.0
233,3502200,0.0,31.6
234,3102852,0.0,1.6
235,5000856,0.0,3.4
236,2601003,0.2,0.0
237,4200903,0.0,0.2
238,2901403,0.0,0.4
239,2200608,0.0,0.0
240,1701051,0.0,0.0
241,2400802,0.0,0.0
242,3300100,0.8,0.0
243,2901502,0.2,0.0
244,4101150,0.0,11.799999999999999
245,5201207,0.0,0.0
246,3502309,0.0,13.6
247,3502408,0.0,8.4
248,5201306,0.8,0.0
249,2200707,0.0,0.0
250,4201000,0.0,0.2
251,4201109,0.0,0.2
252,1300102,0.0,0.0
253,4300703,0.0,0.0
254,2901601,0.0,0.0
255,4101200,0.2,0.4
