,id_municipio,pib,va_agropecuaria,va_industria,va_servicos,va_adespss
0,1100015,495628767,162668419,14441332,130220135,158947896
1,1100023,2578829725,170830702,283899123,1136039091,703663183
2,1100031,139959390,61501091,3267252,25546597,43646475
3,1100049,2260643565,193076506,178514263,1070826694,564237818
4,1100056,506854457,70991738,16167250,230622760,112401334
5,1100064,334851274,72324265,20610236,110968122,108878487
6,1100072,349247369,238295879,8457167,33355291,58591504
7,1100080,238768544,67535273,4286653,45147016,113579211
8,1100098,624760162,128213151,47841739,193941384,201262550
9,1100106,892883182,49489453,24140924,394561804,297713460
10,1100114,1500889690,169611724,168855239,647003057,338744846
11,1100122,3782971683,140588805,519085374,1800964185,800573332
12,1100130,633006802,175136330,35326503,138281233,251108749
13,1100148,359524037,102520417,13757568,86327660,133128155
14,1100155,834168267,136451613,77449886,314694844,240092244
15,1100189,1163876976,117084333,148394846,448038023,249787871
16,1100205,17912070137,647446936,4311751773,7194917288,3532876592
17,1100254,427751732,107464193,33043258,126290144,125737833
18,1100262,111023296,61266928,2878319,11443023,31867833
19,1100288,1283433654,95723816,176672505,527988561,360164822
20,1100296,142611547,51374984,9397237,27147183,49160924
21,1100304,2831175371,120729419,316934441,1307159648,675243101
22,1100320,615803842,203024479,72792425,147738978,154599137
23,1100338,529261253,199539603,19160127,97425862,192660348
24,1100346,260347872,81158656,8650840,60941141,99174713
25,1100379,288681169,133291712,10227631,43655687,90257649
26,1100403,358463741,102009255,19731724,84859851,133712763
27,1100452,726030847,189292787,29260402,207795631,245751256
28,1100502,165757502,56865686,8202036,34589254,58409962
29,1100601,144436935,74141348,1981879,20382426,44047610
30,1100700,274627494,130140435,16732778,26164797,94698845
31,1100809,547919043,90307330,142122009,111728781,179564576
32,1100908,103962662,66789406,1074808,7601279,26138583
33,1100924,304759319,111319988,38695328,54137202,85035103
34,1100940,384877740,99671544,53221199,62853967,152530436
35,1101005,177921665,96746220,2851041,17282145,56283837
36,1101104,184014424,57716657,12686918,34468862,69393520
37,1101203,216408886,79607186,9981360,48108075,65002645
38,1101302,217045865,64439452,9286688,60690122,72000101
39,1101401,291768159,96701372,19050638,60103455,103112591
40,1101435,117333597,49503243,2095664,14375902,47177770
41,1101450,107282707,47930595,2624023,11502060,42154513
42,1101468,116503314,71494485,3708431,13504155,24492889
43,1101476,61841297,23768967,1093116,9001029,25856229
44,1101484,89230432,32792951,1304042,14572959,37202500
45,1101492,353247213,124253766,10622848,72245439,128194879
46,1101500,236311878,82757330,7087034,50401818,81576388
47,1101559,92328284,42255887,2477893,11949588,32315143
48,1101609,191508530,92112452,3242887,18586871,72057749
49,1101708,215380803,78931864,4661881,45211151,77608324
50,1101757,166785824,61215098,4650326,21073033,74486961
51,1101807,146563877,72708640,2122886,17987918,48656858
52,1200013,253609712,65080039,10300202,60469226,99930754
