,id_municipio,populacao_2019
0,1100015,22945
1,1100023,107863
2,1100031,5312
3,1100049,85359
4,1100056,16323
5,1100064,15882
6,1100072,7391
7,1100080,18331
8,1100098,32374
9,1100106,46174
10,1100114,51775
11,1100122,128969
12,1100130,39991
13,1100148,20474
14,1100155,36035
15,1100189,36660
16,1100205,529544
17,1100254,18986
18,1100262,3764
19,1100288,55058
20,1100296,6495
21,1100304,99854
22,1100320,23005
23,1100338,30583
24,1100346,14411
25,1100379,13241
26,1100403,21428
27,1100452,39654
28,1100502,8538
29,1100601,6230
30,1100700,14139
31,1100809,26693
32,1100908,3052
33,1100924,11182
34,1100940,25215
35,1101005,7767
36,1101104,10458
37,1101203,9660
38,1101302,10947
39,1101401,15852
40,1101435,6970
41,1101450,6074
42,1101468,2169
43,1101476,2856
44,1101484,5172
45,1101492,20266
46,1101500,11856
47,1101559,4308
48,1101609,10444
49,1101708,11467
50,1101757,11204
51,1101807,6825
52,1200013,15256
53,1200054,7417
54,1200104,26278
55,1200138,10266
56,1200179,11733
57,1200203,88376
58,1200252,18411
59,1200302,34780
60,1200328,8317
61,1200336,18977
62,1200344,9459
63,1200351,18867
64,1200385,19761
65,1200393,11982
66,1200401,407319
67,1200427,18930
68,1200435,6540
69,1200450,23024
70,1200500,45848
71,1200609,42567
72,1200708,19323
73,1200807,18504
74,1300029,16041
75,1300060,11536
76,1300086,13614
77,1300102,21010
78,1300144,21973
79,1300201,19921
80,1300300,39565
81,1300409,27502
82,1300508,32041
83,1300607,42984
84,1300631,19679
85,1300680,19207
86,1300706,34308
87,1300805,41161
88,1300839,13081
89,1300904,15629
90,1301001,28294
91,1301100,37869
92,1301159,30225
93,1301209,85097
94,1301308,28637
95,1301407,35273
96,1301506,20033
97,1301605,17609
98,1301654,16678
99,1301704,55080
100,1301803,29689
101,1301852,48296
102,1301902,101337
103,1301951,7851
104,1302009,9148
105,1302108,2755
106,1302207,14712
107,1302306,14317
108,1302405,46069
109,1302504,97377
110,1302553,32105
111,1302603,2182763
112,1302702,55751
113,1302801,18224
114,1302900,63905
115,1303007,21173
116,1303106,37378
117,1303205,19454
118,1303304,25644
119,1303403,114273
120,1303502,19426
121,1303536,36279
122,1303569,33347
123,1303601,25156
124,1303700,21602
125,1303809,45564
126,1303908,39299
127,1303957,14020
128,1304005,9171
129,1304062,65844
130,1304104,17156
131,1304203,59849
132,1304237,18755
133,1304260,13540
134,1304302,16256
135,1304401,23065
136,1400027,12796
137,1400050,15510
138,1400100,399213
139,1400159,12409
140,1400175,18335
141,1400209,21926
142,1400233,10169
143,1400282,11950
144,1400308,17853
145,1400407,11290
146,1400456,17401
147,1400472,30163
148,1400506,8201
149,1400605,7986
150,1400704,10559
151,1500107,157698
